,case number,Timestamp,Who was the member adjudicating the decision?,What was the location of the landlord tenant board?,Did the decision state the landlord was represented?,Did the decision state the landlord attended the hearing?,Did the decision state the tenant was represented?,Did the decision state the tenant attended the hearing?,Did the decision state the landlord was a not-for-profit landlord (e.g. Toronto Community Housing)?,Did the decision state the tenant was collecting a subsidy?,What was the outcome of the case?,"What was the length of the tenancy, or in other words, how long had the tenants lived at the residence in question? ",What was the monthly rent?,What was the amount of the rental deposit? ,"If any rent increases occurred, what was the rent after the increase(s)?",What was the total amount of arrears?,Over how many months did the arrears accumulate? ,"If the tenant made a payment on the arrears after the eviction notice was served and/or prior to the hearing, what was the amount of the payment? ","Did the decision mention a history of arrears by the tenant separate from the arrears in the current claim (more than one period of arrears, recurrently coming in and out of arrears, arrears with previous landlord, etc.)?","Did the member find the tenant had or seemed to have the ability to pay rent, but chose not do so?","What were the specific mental, medical, or physical conditions of the tenant, if any? ",Did the decision state that the tenant had children living with them?,Was the tenant employed at the time of the hearing?,"If the tenant was not employed, did the decision state the tenant was receiving any form of government assistance (e.g. OW, childcare benefits, ODSP, OSAP)?","If the tenant was employed, did the decision state any doubts about the stability of employment e.g. lack of guaranteed hours, contract work, etc.?",Did the member find the tenant had sufficient income to pay rent?,Did the decision mention the tenant lost their job leading up to or during the period of the hearing?,"Did the decision mention any other extenuating circumstances experienced by the tenant leading up to or during the period of the claim (e.g. hospitalization, death in the family, etc.)?","Did the decision mention the tenant’s difficulty finding alternative housing for any reason e.g.physical limitations, reliance on social assistance, etc.?",Did the decision state the tenant was given prior notice for the eviction?,Did the decisions state postponement would result in the tenant accruing additional arrears?,Which other specific applications of the landlord or the tenant were mentioned?,Did the decision mention the validity of an N4 eviction notice?,Payment Plan
166,TNL-04296-18,12/26/2020 12:58:58,Neil Kaufman,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1377.06,0,5240.342916006339,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['L1', 'L2']",0,0.0
167,TNL-04389-18-BIR,12/26/2020 13:05:07,Sylvia Watson,Toronto,1,0,1,0,0,0,Payment plan,240.0,1595.9445741324917,1365.9816966067865,0,5240.342916006339,6.306049004594181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0,1.0
168,TNL-04435-18  TNL-03907-18,12/26/2020 13:09:47,Neil Kaufman,Newmarket,0,1,1,1,0,0,Postponement of eviction,6.306049004594181,1595.9445741324917,1200.0,0,5240.342916006339,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['L1', 'L2', 'L3']",0,0.0
169,TEL-89823-18,1/14/2021 15:30:19,Elana Rose,Whitby,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067865,0,7200.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
170,TEL-89848-18,1/14/2021 15:37:43,Avril Cardoso,Toronto,0,1,0,1,0,0,Postponement of eviction,6.306049004594181,1595.9445741324917,1497.8,0,8955.67,6.0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,[],0,0.5
171,TEL-03678-19,12/26/2020 21:47:01,Shelby Whittick,Toronto,1,1,0,1,0,0,No relief,72.0,1658.61,1658.61,0,13475.86,10.0,0,1,1,0,1,1,0,-1,1,0,1,0,1,0,['L1'],0,0.0
172,TEL-03752-19,12/26/2020 21:55:47,Sonia Anwar-Ali,Peterborough,1,1,0,0,0,0,No relief,6.306049004594181,663.33,600.0,0,1990.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"['L1', 'L2']",0,0.0
173,TEL-04297-19,12/26/2020 22:05:48,Shelby Whittick,Lindsay,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,980.0,0,6070.0,6.0,0,0,0,0,1,-1,-1,0,0,1,0,0,1,0,['L1'],0,0.0
174,TEL-04353-19,12/26/2020 22:16:19,Shelby Whittick,Peterborough,0,1,0,1,0,0,No relief,30.0,900.0,1365.9816966067865,0,3600.0,4.0,0,0,0,0,1,-1,1,0,1,0,1,0,1,0,['L1'],0,0.5
175,TEL-04558-19,12/26/2020 22:28:44,Sonia Anwar-Ali,Toronto,0,0,0,1,0,0,Postponement of eviction,6.306049004594181,1595.9445741324917,1050.0,0,5500.0,6.0,0,0,0,0,1,-1,-1,0,0,0,0,1,1,1,[],0,0.0
